temperature,humidity,solar_radiation,cloud_cover,timestamp
7.7,69,0,0,2025-04-27T03:21:36.610157
7.7,69,0,0,2025-04-27T03:22:18.350229
8,69,0,0,2025-04-27T03:27:18.684059
7.8,69,0,0,2025-04-27T03:32:18.810191
7.8,69,0,0,2025-04-27T03:35:13.508704
7.8,69,0,0,2025-04-27T03:39:41.507596
7.8,69,0,0,2025-04-27T03:44:41.380735
7.7,69,0,0,2025-04-27T03:47:06.853000
7.7,69,0,0,2025-04-27T03:51:27.201214
7.7,69,0,0,2025-04-27T03:53:26.950260
7.7,69,0,0,2025-04-27T03:56:49.238537
7.7,69,0,0,2025-04-27T04:01:49.418996
7.7,69,0,0,2025-04-27T04:15:30.656725
7.7,69,0,0,2025-04-27T04:16:49.405426
7.6,67,0,0,2025-04-27T04:47:11.543340
7.7,63,0,0,2025-04-27T09:15:16.456549
12,53,528,0,2025-04-27T09:15:17.137361
12,53,528,0,2025-04-27T09:15:19.851697
12,53,528,0,2025-04-27T09:15:38.955075
12,53,528,0,2025-04-27T09:16:38.539757
12,53,528,0,2025-04-27T09:18:38.362042
12,53,528,0,2025-04-27T09:23:38.273445
12,53,528,0,2025-04-27T09:28:39.125946
12.4,51,577,0,2025-04-27T09:32:39.529878
12.4,51,577,0,2025-04-27T09:32:57.439395
12.4,51,577,0,2025-04-27T09:37:58.199524
12.9,50,625,0,2025-04-27T09:50:55.352971
12.9,50,625,0,2025-04-27T09:52:57.520239
12.9,50,625,0,2025-04-27T09:57:57.454572
13.3,49,669,0,2025-04-27T10:02:57.368691
13.3,49,669,0,2025-04-27T10:07:57.330144
13.3,49,669,0,2025-04-27T10:14:20.715929
13.6,47,712,0,2025-04-27T10:18:30.881573
13.6,45,712,0,2025-04-27T10:22:44.713596
14.4,42,789,0,2025-04-27T10:49:44.162249
14.4,42,789,0,2025-04-27T10:52:45.037423
14.4,42,789,0,2025-04-27T10:57:45.048878
14.9,40,824,1,2025-04-27T11:02:45.080512
14.9,40,824,1,2025-04-27T11:08:30.064554
14.9,40,824,1,2025-04-27T11:13:18.253547
14.9,40,824,1,2025-04-27T11:13:43.609601
15.1,40,824,1,2025-04-27T11:13:50.377236
15.5,39,855,1,2025-04-27T11:25:23.683389
15.5,39,855,1,2025-04-27T11:27:33.965204
15.5,39,855,1,2025-04-27T11:27:45.014821
15.5,39,855,1,2025-04-27T11:28:32.420683
15.5,39,855,1,2025-04-27T11:29:32.206861
15.9,38,883,1,2025-04-27T11:30:32.434773
15.9,38,883,1,2025-04-27T11:31:32.152576
15.9,38,883,1,2025-04-27T11:32:33.045185
15.9,38,883,1,2025-04-27T11:33:32.990627
15.9,38,883,1,2025-04-27T11:33:43.065952
15.9,38,883,1,2025-04-27T11:34:43.276195
15.9,38,883,1,2025-04-27T11:35:42.902889
15.9,38,883,1,2025-04-27T11:36:42.889857
15.9,38,883,1,2025-04-27T11:37:42.918078
15.9,38,883,1,2025-04-27T11:38:43.049202
15.9,38,883,0,2025-04-27T11:39:42.853135
15.9,38,883,0,2025-04-27T11:40:42.961522
15.9,34,883,0,2025-04-27T11:41:42.967300
15.9,34,883,0,2025-04-27T11:42:42.845484
15.9,34,883,0,2025-04-27T11:43:42.910875
15.9,34,883,0,2025-04-27T11:44:42.852536
16.3,34,907,0,2025-04-27T11:45:42.887251
16.3,34,907,0,2025-04-27T11:46:42.853221
16.3,34,909,0,2025-04-27T11:47:42.902194
16.5,34,909,0,2025-04-27T11:48:42.854548
16.5,34,909,0,2025-04-27T11:49:42.890592
16.5,34,909,0,2025-04-27T11:50:42.883383
16.5,34,909,0,2025-04-27T11:51:42.886021
16.5,34,909,0,2025-04-27T11:52:43.059812
16.5,34,909,0,2025-04-27T11:53:44.034945
16.5,34,909,0,2025-04-27T11:54:45.010307
16.5,34,909,0,2025-04-27T11:55:46.026308
16.5,34,909,0,2025-04-27T11:56:47.026861
16.5,34,909,0,2025-04-27T11:57:47.992565
16.5,34,909,0,2025-04-27T11:58:48.956984
16.5,34,909,0,2025-04-27T11:59:50.004099
16.8,33,930,0,2025-04-27T12:00:51.097146
16.8,33,930,0,2025-04-27T12:01:52.055648
16.8,33,930,0,2025-04-27T12:02:53.055893
16.8,33,930,0,2025-04-27T12:03:43.621118
16.8,33,930,0,2025-04-27T12:04:44.104868
